
2024/11/19 (17:44:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (20:41:20) | ===> btop++ v.1.3.0
2024/11/19 (20:41:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (20:41:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/05 (21:06:43) | ===> btop++ v.1.4.0
2025/01/05 (21:06:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/05 (21:06:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/05 (21:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:06:47) | ===> btop++ v.1.4.0
2025/01/05 (21:06:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/05 (21:06:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/05 (21:06:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:07:03) | ===> btop++ v.1.4.0
2025/01/05 (21:07:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/05 (21:07:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/05 (21:07:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (12:44:21) | ===> btop++ v.1.4.0
2025/01/07 (12:44:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (12:44:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/07 (12:44:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (18:56:03) | ===> btop++ v.1.4.0
2025/01/07 (18:56:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (18:56:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/07 (18:56:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:00:45) | ===> btop++ v.1.4.0
2025/01/07 (20:00:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (20:00:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/07 (20:00:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (21:20:02) | ===> btop++ v.1.4.0
2025/01/07 (21:20:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (21:20:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/07 (21:20:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:42:46) | ===> btop++ v.1.4.0
2025/01/10 (11:42:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:42:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:42:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:43:34) | ===> btop++ v.1.4.0
2025/01/10 (11:43:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:43:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:43:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:46:39) | ===> btop++ v.1.4.0
2025/01/10 (11:46:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:46:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:46:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:46:56) | ===> btop++ v.1.4.0
2025/01/10 (11:46:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:46:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:46:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:50:00) | ===> btop++ v.1.4.0
2025/01/10 (11:50:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:50:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:50:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:50:17) | ===> btop++ v.1.4.0
2025/01/10 (11:50:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:50:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:50:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:50:43) | ===> btop++ v.1.4.0
2025/01/10 (11:50:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:50:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:50:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:51:52) | ===> btop++ v.1.4.0
2025/01/10 (11:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (11:51:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (11:51:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/10 (12:07:52) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:07:58) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:04) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:10) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:16) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:22) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:28) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:34) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:40) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:46) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:52) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:08:58) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:04) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:10) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:16) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:22) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:28) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:34) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:40) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:46) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:52) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:09:58) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:04) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:10) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:17) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:23) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:29) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:35) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:41) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:47) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:53) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:10:59) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:05) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:11) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:17) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:23) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:29) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:35) | ERROR: Stall in Runner thread, restarting!
2025/01/10 (12:11:41) | ERROR: Stall in Runner thread, restarting!

2025/01/10 (12:22:20) | ===> btop++ v.1.4.0
2025/01/10 (12:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (12:22:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/10 (12:22:20) | WARNING: Intel GPU: Failed to initialize PMU
